LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,
,SepPV,MODULE,val,OpAtr,And,fun,Type,infix,ConstInt,Id,nonfix,BeginP,EndP,SepV,Bar,TypeConst,PREFCON,BeginC,EndC,OpLogAndAlso,OpLogOr,InsSIf,InsSThen,InsSElse,InsInWh,InsInDo,InsInCase,Of,Fn,Arrow,OpArMult,OpArdiv,Div,Mod,OpArAd,OpArExp,At,OpReI,OpReD,op,OpMinus,OpLogNot,Abs,DoubleP,ConstBool,TypeInt,TypeChar,TypeString,TypeBool,List,Asp,$,S,INICIAL,DEC,CONTDEC,CONTFBIND,CONTID,TVARS,CONTTVARS,TBINDS,CONTTBINDS,FBIND,CONTAPAT,CONTFBINDD,EXP,CONTEXP,MATCH,CONTMATCH,PAT,APAT,INFIXFN,PREFIXFN,INFIXCON,MONOCON,TYPE,TVAR
115,,,,,r71,,,,,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,r72,,,,,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,r73,,,,,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,r74,,,,,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,r12,r12,r12,,,r12,r12,r12,,,r12,r12,,,,r12,r12,r12,,r12,r12,r12,,,r12,,r12,,r12,,,,,,,,,,,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,r15,r15,r15,,,r15,r15,r15,,,r15,r15,,,,r15,r15,r15,,r15,r15,r15,,,r15,,r15,,r15,,,,,,,,,,,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,7,,,,
124,r41,,,,r41,,,,,,,r41,,r41,r41,r41,r41,r41,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,s139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,
127,r6,r6,r6,,,r6,r6,r6,,,r6,r6,,,,r6,r6,r6,,r6,r6,r6,,,r6,,r6,,r6,,,,,,,,,,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,141,39,,,41,,,
129,,,,,,,,,,r17,,r17,,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,
131,r10,r10,r10,,,r10,r10,r10,,,r10,r10,,,,r10,r10,r10,,r10,r10,r10,,,r10,,r10,,r10,,,,,,,,,,,r10,r10,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,7,,,,
133,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,s136,,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,
135,r20,r20,r20,,,r20,r20,r20,,,r20,r20,,,,r20,r20,r20,,r20,r20,r20,,,r20,,r20,,r20,,,,,,,,,,,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,145,,,,,,,,,,,,,,,,,,49
137,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,r37,,,,r37,,,,,,,r37,,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,147,39,,,41,,,
140,r5,r5,r5,,,r5,r5,r5,,,r5,r5,,,,r5,r5,r5,,r5,r5,r5,,,r5,,r5,,r5,,,,,,,,,,,r5,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,s148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,s150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,
144,r19,r19,r19,,,r19,r19,r19,,,r19,r19,,,,r19,r19,r19,,r19,r19,r19,,,r19,,r19,,r19,,,,,,,,,,,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s114,s115,s116,s117,s118,,,,,,,,,,,,,,,,,,,,,,,,,,152,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,7,,,,
149,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,s155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,s136,,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,
153,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,7,,,,
154,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,85,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s114,s115,s116,s117,s118,,,,,,,,,,,,,,,,,,,,,,,,,,161,
157,r22,r22,r22,,,r22,r22,r22,,,r22,r22,,,,r22,r22,r22,,r22,r22,r22,,,r22,,r22,,r22,,,,,,,,,,,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,r42,,,,r42,,,,,,,r42,,r42,r42,r42,r42,r42,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,r7,r7,r7,,,r7,r7,r7,,,r7,r7,,,,r7,r7,r7,,r7,r7,r7,,,r7,,r7,,r7,,,,,,,,,,,r7,r7,r7,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,162,,,,,,,111,,,85,,,
161,,,,,s136,,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,
162,,,,s164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,r21,r21,r21,,,r21,r21,r21,,,r21,r21,,,,r21,r21,r21,,r21,r21,r21,,,r21,,r21,,r21,,,,,,,,,,,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,7,,,,
165,,,,,,,,,,,,,,,s150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,
166,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
